"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Ken Griffey Jr.","- - -","1136","4616","232","599","684","17","12.2%","17.2%",".231",".270",".262",".355",".493",".360","","114","-15.2","68.3","-125.6","9.2","327","115135"
"Reed Johnson","- - -","1320","3992","65","518","408","41","4.5%","18.2%",".126",".332",".279",".335",".405",".326","","96","-0.8","-20.6","-16.6","9.2","1702","407862"
"Preston Wilson","- - -","937","3833","162","499","594","112","7.8%","23.7%",".204",".310",".263",".327",".467",".341","","101","-6.1","-0.2","-31.3","9.2","545","133343"
"Alex Verdugo","- - -","651","2559","57","335","255","20","7.5%","15.1%",".147",".313",".281",".337",".428",".329","","105","0.4","16.0","-6.3","9.2","17027","657077"
"Gerardo Parra","- - -","1519","5290","90","633","532","97","6.0%","17.4%",".128",".320",".275",".322",".403",".313","","88","-12.6","-91.1","12.6","9.2","8553","467827"
"Hank Blalock","- - -","936","3928","153","507","542","14","8.0%","18.3%",".194",".296",".269",".329",".463",".340","","100","-17.7","-16.7","-24.5","9.2","1419","408213"
"Joey Wendle","- - -","649","2300","32","265","219","61","5.4%","18.6%",".123",".312",".263",".312",".386",".301","","92","5.6","-16.9","30.0","9.2","13853","621563"
"Brian Anderson","- - -","627","2522","66","287","273","14","9.4%","24.2%",".152",".317",".252",".336",".404",".323","","103","-2.5","8.8","2.1","9.1","18289","605119"
"Trent Grisham","- - -","547","2041","61","252","215","46","11.6%","26.2%",".168",".271",".216",".316",".383",".307","","96","12.3","4.0","17.4","9.1","18564","663757"
"Peter Bourjos","- - -","875","2334","43","284","170","68","5.7%","24.1%",".139",".302",".237",".293",".376",".292","","83","14.9","-31.7","41.6","9.1","2578","488721"
"Chris Stewart","- - -","457","1334","9","106","90","6","7.4%","14.3%",".062",".265",".230",".297",".291",".264","","63","0.2","-59.5","101.1","9.1","3878","455755"
"Brian Jordan","- - -","660","2495","77","309","339","20","6.5%","15.6%",".161",".295",".272",".324",".433",".327","","95","4.9","-10.2","19.0","9.1","658","116747"
"Jason Michaels","- - -","1031","2629","59","332","299","22","9.2%","18.9%",".145",".308",".263",".335",".407",".326","","96","2.7","-9.9","14.9","9.1","1399","346859"
"Brandon Moss","- - -","1016","3521","160","419","473","11","9.3%","27.5%",".215",".287",".237",".314",".452",".330","","107","-3.0","23.1","-52.1","9.0","4467","461235"
"Omar Narvaez","- - -","649","2229","53","224","198","0","10.6%","19.0%",".125",".298",".255",".339",".380",".315","","98","-9.8","-13.4","25.2","9.0","13338","553882"
"Cal Raleigh","SEA","311","1132","59","130","151","1","8.7%","29.3%",".231",".255",".217",".287",".448",".315","","106","-1.8","5.7","44.3","9.0","21534","663728"
"Jake Marisnick","- - -","877","2247","65","287","223","81","5.3%","29.9%",".156",".304",".228",".281",".385",".287","","81","11.8","-38.8","51.6","8.9","11339","545350"
"Evan Gattis","- - -","706","2662","139","299","410","3","6.3%","21.6%",".228",".266",".248",".300",".476",".329","","110","-12.2","19.0","-20.8","8.9","11003","594828"
"Bill Hall","- - -","1054","3674","125","450","440","62","7.8%","26.4%",".188",".310",".248",".308",".436",".321","","92","1.2","-36.3","6.1","8.8","1605","407849"
"Michael Harris II","ATL","252","980","37","151","121","40","4.7%","21.2%",".199",".346",".295",".334",".494",".355","","125","9.8","38.5","14.3","8.8","25931","671739"
"C.J. Cron","- - -","1049","4043","187","470","604","10","6.6%","23.0%",".211",".296",".260",".320",".471",".337","","109","-23.3","20.0","-71.4","8.7","12546","543068"
"Kurt Suzuki","- - -","1635","6163","143","594","730","20","6.3%","12.2%",".132",".270",".255",".314",".388",".307","","89","-22.8","-99.4","-16.6","8.7","8259","435559"
"Kevin Mench","- - -","729","2597","89","311","331","12","7.0%","12.9%",".188",".277",".268",".324",".456",".335","","98","12.0","3.8","-3.6","8.7","1261","407891"
"Josh Bell","- - -","1002","4023","152","488","542","4","11.7%","18.7%",".193",".288",".260",".347",".453",".341","","114","-32.9","39.9","-88.7","8.7","13145","605137"
"Mitch Garver","- - -","451","1629","82","218","228","2","11.1%","25.6%",".231",".298",".252",".342",".483",".351","","123","-3.0","42.8","-11.7","8.7","15161","641598"
"Ha-seong Kim","SDP","419","1506","36","169","153","56","9.8%","19.6%",".138",".287",".245",".325",".383",".312","","102","8.4","10.7","23.0","8.6","27506","673490"
"Rene Rivera","- - -","542","1629","43","120","176","1","5.7%","27.4%",".133",".283",".221",".273",".354",".273","","70","-11.6","-69.6","97.5","8.6","3648","425784"
"Danny Jansen","TOR","409","1380","65","175","196","1","9.1%","20.1%",".211",".235",".224",".308",".435",".319","","102","0.1","1.8","37.3","8.6","16535","643376"
"Miguel Sano","MIN","694","2859","162","386","418","5","11.6%","36.4%",".248",".323",".234",".326",".482",".342","","115","-12.7","41.5","-54.5","8.6","12164","593934"
"Bobby Higginson","DET","691","2909","83","363","353","60","11.2%","12.8%",".166",".282",".268",".352",".434",".342","","108","-0.1","31.1","-41.5","8.6","469","115915"
"Danny Espinosa","- - -","872","3267","98","367","316","64","7.4%","28.9%",".157",".290",".221",".297",".378",".295","","82","13.0","-57.1","37.8","8.6","9219","457787"
"Brendan Ryan","- - -","896","2886","19","304","203","67","6.9%","17.0%",".081",".278",".233",".294",".314",".272","","68","14.9","-93.4","84.8","8.6","6073","453895"
"Todd Walker","- - -","925","3628","86","477","415","20","8.5%","10.5%",".152",".303",".290",".349",".442",".343","","101","-5.1","-1.0","-32.3","8.6","359","123842"
"Chris Denorfia","- - -","808","2385","41","289","196","56","7.8%","17.1%",".120",".316",".272",".330",".392",".318","","103","-1.1","7.1","1.0","8.5","4400","456121"
"Brian Schneider","- - -","1048","3570","67","284","387","4","9.3%","14.7%",".122",".275",".247",".320",".369",".299","","78","-23.2","-123.4","93.0","8.5","795","150411"
"Ryan Sweeney","- - -","682","2338","23","265","224","18","7.8%","14.6%",".104",".317",".276",".333",".380",".315","","94","1.9","-13.8","17.9","8.5","6352","435220"
"Travis Shaw","- - -","733","2690","114","310","366","20","10.2%","24.2%",".200",".276",".237",".319",".437",".323","","99","-5.2","-10.9","6.1","8.4","11982","543768"
"Lourdes Gurriel Jr.","- - -","613","2456","92","289","336","19","5.7%","19.6%",".187",".316",".279",".324",".466",".337","","113","-11.7","26.6","-24.6","8.4","19238","666971"
"Ryan Church","- - -","654","2128","56","251","267","21","8.8%","21.6%",".167",".319",".264",".336",".431",".334","","102","-1.1","6.4","9.6","8.3","2106","425508"
"Alejandro De Aza","- - -","838","2878","51","367","258","91","7.8%","21.6%",".136",".322",".260",".325",".396",".316","","97","10.6","-3.0","-13.3","8.3","3371","457477"
"Kendrys Morales","- - -","1363","5357","213","584","740","6","7.8%","18.3%",".187",".291",".265",".327",".453",".335","","110","-58.5","5.0","-105.2","8.3","8610","434778"
"Craig Gentry","- - -","602","1402","7","180","104","94","7.3%","17.8%",".077",".321",".262",".333",".339",".301","","85","23.7","-0.3","31.5","8.3","9571","502226"
"Joe Panik","- - -","818","3099","42","340","258","22","8.3%","10.1%",".108",".282",".264",".328",".372",".306","","92","-2.5","-36.4","16.8","8.2","11936","605412"
"Jose Guillen","- - -","1267","4969","183","588","702","26","5.3%","17.3%",".180",".298",".272",".327",".452",".337","","103","-30.5","-10.6","-74.8","8.2","57","115229"
"Pedro Feliz","- - -","1302","4544","140","487","598","13","5.1%","14.6%",".160",".265",".250",".288",".410",".300","","78","-21.0","-147.3","84.4","8.2","1112","150268"
"Kevin Millar","- - -","1320","4972","161","599","632","6","10.5%","15.6%",".181",".297",".273",".357",".454",".353","","113","-34.3","47.6","-132.9","8.2","529","132788"
"Chas McCormick","HOU","342","1184","50","153","164","27","9.4%","27.6%",".190",".325",".259",".336",".449",".340","","120","0.2","27.8","13.0","8.1","19599","676801"
"Alberto Callaspo","- - -","1093","3956","52","391","369","22","8.8%","9.2%",".100",".280",".265",".329",".364",".307","","91","-24.2","-66.2","11.5","8.1","3336","430948"
"Robbie Grossman","- - -","1126","4316","90","503","415","64","12.9%","22.2%",".135",".303",".244",".346",".379",".321","","103","1.0","15.8","-81.8","8.0","5254","543257"
"Khalil Greene","- - -","737","2835","90","322","352","25","6.7%","19.6%",".177",".275",".245",".302",".422",".311","","91","6.6","-24.6","13.9","8.0","1826","425867"
"Bobby Witt Jr.","KCR","308","1326","50","179","176","79","5.3%","19.3%",".197",".295",".265",".307",".463",".328","","107","13.8","25.0","10.5","8.0","25764","677951"
"Jake Lamb","- - -","724","2650","96","335","342","18","11.1%","26.0%",".192",".289",".235",".326",".427",".323","","97","5.2","-4.7","-2.8","8.0","13329","571875"
"Rocco Baldelli","- - -","519","2065","60","281","262","60","4.9%","18.8%",".165",".319",".278",".323",".443",".330","","98","14.4","10.5","0.0","8.0","1656","408306"
"Juan Gonzalez","- - -","441","1872","94","270","329","5","6.0%","17.4%",".232",".318",".299",".343",".530",".369","","121","-5.2","45.7","-29.0","8.0","1251","114932"
"Thairo Estrada","- - -","373","1324","39","173","148","50","5.1%","20.1%",".148",".304",".262",".315",".410",".315","","102","10.5","13.8","19.7","7.9","16426","642731"
"Damion Easley","- - -","880","2995","77","334","331","33","8.2%","13.9%",".149",".265",".247",".323",".396",".317","","90","1.2","-35.9","15.7","7.9","464","113702"
"William Contreras","- - -","294","1182","45","156","147","8","10.2%","24.4%",".189",".338",".275",".353",".464",".353","","123","-7.0","25.8","12.3","7.9","20503","661388"
"Lonnie Chisenhall","CLE","688","2360","64","261","296","20","6.4%","18.5%",".159",".307",".268",".320",".427",".323","","102","8.1","13.7","-15.8","7.9","7571","502082"
"Nicky Lopez","- - -","546","1901","6","220","131","42","7.4%","14.2%",".070",".292",".249",".312",".319",".281","","73","11.1","-51.0","62.7","7.9","19339","670032"
"Juan Lagares","- - -","850","2508","31","270","217","45","4.8%","21.1%",".110",".309",".250",".291",".360",".282","","79","6.5","-58.2","53.0","7.9","5384","501571"
"Luis Valbuena","- - -","1011","3571","114","377","367","11","10.5%","22.1%",".168",".263",".226",".310",".394",".308","","93","-11.1","-42.9","-0.6","7.8","4969","472528"
"Pedro Alvarez","- - -","910","3321","162","365","472","15","9.5%","28.7%",".211",".288",".236",".310",".447",".326","","107","-1.1","25.6","-54.0","7.8","2495","476883"
"Matt Duffy","- - -","705","2549","31","270","231","41","6.8%","17.1%",".092",".328",".277",".335",".369",".311","","97","-7.4","-16.6","7.9","7.8","13836","622110"
"Clint Barmes","- - -","1186","4167","89","434","415","43","5.2%","17.6%",".134",".280",".245",".294",".379",".293","","71","14.3","-131.6","76.4","7.8","1830","425549"
"Dmitri Young","- - -","967","3843","138","463","508","14","7.5%","16.6%",".192",".321",".292",".350",".483",".355","","114","-22.1","45.6","-95.3","7.7","505","124693"
"Jonah Heim","- - -","353","1277","44","139","180","7","7.8%","19.1%",".167",".255",".232",".292",".399",".299","","89","-2.4","-20.2","53.5","7.7","16930","641680"
"Daric Barton","OAK","551","2085","30","242","184","13","13.9%","16.7%",".118",".290",".247",".356",".365",".325","","102","7.2","13.5","-9.6","7.7","5928","435558"
"Logan Forsythe","- - -","971","3540","71","389","307","42","9.7%","21.4%",".125",".298",".244",".326",".369",".307","","93","2.7","-26.0","-16.3","7.7","7185","523253"
"Chris Iannetta","- - -","1197","4253","141","449","502","11","13.5%","24.1%",".176",".279",".230",".345",".406",".331","","100","-22.0","-23.9","-38.8","7.6","8267","455104"
"Erubiel Durazo","- - -","572","2106","83","302","300","6","13.3%","18.3%",".201",".308",".277",".377",".478",".368","","122","0.6","59.8","-53.0","7.6","1413","220194"
"Austin Barnes","LAD","545","1557","34","190","149","20","11.6%","21.9%",".124",".267",".219",".323",".343",".296","","86","-4.3","-31.5","55.5","7.6","12158","605131"
"Amed Rosario","- - -","839","3367","60","420","334","96","4.5%","19.5%",".128",".325",".272",".308",".400",".304","","95","6.3","-16.9","-16.8","7.6","15518","642708"
"Steve Pearce","- - -","766","2555","91","290","303","13","9.4%","19.9%",".186",".287",".254",".332",".440",".336","","110","3.6","29.8","-43.1","7.6","9957","456665"
"Ryan McMahon","COL","757","2778","104","339","352","24","10.2%","28.7%",".185",".314",".243",".323",".428",".324","","88","-3.2","-44.2","25.5","7.5","15112","641857"
"Michael Saunders","- - -","775","2747","81","324","263","55","9.3%","25.9%",".165",".291",".232",".305",".397",".306","","94","15.8","-6.4","-14.9","7.5","9981","459431"
"Ryan Theriot","- - -","899","3615","17","446","257","121","7.9%","10.6%",".069",".312",".281",".341",".350",".311","","86","0.4","-62.5","25.2","7.5","3811","444135"
"Junior Spivey","- - -","457","1785","48","258","201","32","9.8%","20.9%",".166",".324",".270",".354",".436",".345","","105","4.2","14.6","2.6","7.5","74","150160"
"Sean Rodriguez","- - -","1103","2913","81","344","298","42","7.7%","26.6%",".154",".288",".226",".301",".379",".300","","88","5.0","-37.3","13.1","7.5","6589","446481"
"Brad Miller","- - -","1055","3531","123","397","405","43","9.9%","24.7%",".179",".286",".236",".314",".416",".316","","100","5.0","6.9","-53.2","7.5","12775","543543"
"D'Angelo Jimenez","- - -","634","2457","36","287","224","36","11.7%","15.8%",".115",".304",".262",".350",".376",".324","","94","-6.7","-24.9","19.0","7.5","1038","150090"
"Steven Kwan","CLE","305","1356","11","182","106","40","9.7%","10.0%",".102",".308",".282",".356",".384",".326","","112","6.4","25.3","2.2","7.4","24610","680757"
"Aaron Boone","- - -","939","3554","110","434","450","83","7.2%","16.5%",".166",".285",".259",".325",".425",".326","","94","8.0","-18.4","-23.9","7.4","311","111213"
"Jack Cust","- - -","670","2581","105","311","323","6","17.2%","31.7%",".197",".337",".242",".374",".439",".360","","123","-7.8","64.0","-79.2","7.4","1564","400091"
"Corbin Carroll","ARI","187","760","29","129","90","56","8.6%","20.5%",".224",".326",".281",".357",".505",".368","","133","16.7","47.4","0.4","7.4","25878","682998"
"Ben Revere","- - -","857","3343","7","400","198","211","4.5%","9.2%",".058",".312",".284",".319",".343",".293","","82","36.1","-36.2","-1.6","7.4","4712","519184"
"Aledmys Diaz","- - -","691","2509","78","289","293","15","6.2%","15.3%",".167",".281",".261",".314",".429",".317","","100","-17.2","-15.4","4.2","7.4","15937","649557"
"Jorge Soler","- - -","870","3473","170","416","452","11","10.5%","26.7%",".224",".289",".243",".330",".467",".340","","112","-12.0","40.6","-85.6","7.4","14221","624585"
"Chris Snyder","- - -","715","2459","77","227","298","0","12.6%","22.8%",".159",".265",".224",".328",".382",".312","","83","-19.5","-70.5","65.8","7.4","4606","430965"
"Jonny Gomes","- - -","1203","4009","162","495","526","50","10.4%","27.1%",".194",".298",".242",".333",".436",".335","","106","14.2","43.7","-103.5","7.3","1845","430404"
"David Fletcher","LAA","534","2180","16","250","168","29","6.2%","9.5%",".082",".301",".277",".323",".359",".298","","86","2.7","-34.6","32.5","7.3","17992","664058"
"J.T. Snow","- - -","765","2745","57","327","338","7","12.1%","17.7%",".142",".320",".274",".371",".416",".347","","109","-2.8","30.0","-45.1","7.3","1133","122497"
"Scott Spiezio","- - -","915","3044","86","368","393","23","9.6%","13.9%",".169",".275",".258",".334",".427",".329","","98","-4.8","-11.1","-20.9","7.1","37","122596"
"James Loney","- - -","1443","5487","108","528","669","38","7.2%","11.9%",".126",".306",".284",".336",".410",".324","","103","-25.7","-5.9","-98.2","7.1","4556","425766"
"Cliff Pennington","- - -","971","3142","36","324","242","84","8.5%","19.7%",".096",".297",".242",".309",".339",".289","","79","11.0","-67.5","30.4","7.1","3395","460060"
"Austin Hays","BAL","494","1949","63","251","228","15","6.0%","21.3%",".175",".307",".262",".314",".437",".323","","107","-2.9","13.0","-7.6","7.0","19363","669720"
"Mark Bellhorn","- - -","652","2214","63","290","226","21","14.0%","29.3%",".169",".315",".231",".344",".400",".330","","97","4.2","-3.4","-0.2","7.0","264","110840"
"Dustin Ackley","- - -","635","2347","46","261","216","31","8.3%","17.9%",".126",".279",".241",".304",".367",".296","","90","11.6","-16.7","5.0","7.0","10099","554429"
